Usuario,Plataforma,Seguidores,Engagement Rate,Categoria,Pais,Frecuencia
@fitlife,Instagram,28000,3.7,Fitness,Mexico, diaria
@foodiegram,Instagram,63000,2.1,Food,Colombia, diaria
@lifestylebyana,YouTube,72000,1.9,Lifestyle,Argentina, semanal
@comedylive,Twitter,6100,0.6,Comedy,Peru, diaria
@politicsnow,YouTube,45000,2.3,Politics,Chile, semanal
@healthyliving,Instagram,31000,4.2,Fitness,Brazil, diaria
@foodieadventures,YouTube,5400,1.5,Food,Argentina, semanal
@lifebydesign,TikTok,22000,5.2,Lifestyle,Colombia, diaria
@laughoutloud,Twitter,2600,1.1,Comedy,Mexico, semanal
@politicosdehoy,Instagram,74000,1.8,Politics,Peru, diaria
@fitnesstips,YouTube,89000,3.1,Fitness,Chile, diaria
@foodnetworks,TikTok,8900,2.7,Food,Brazil, mensual
@happylifestyle,Instagram,58000,2.5,Lifestyle,Argentina, diaria
@funnymoments,Twitter,8800,0.9,Comedy,Colombia, mensual
@politicaparatodos,YouTube,47000,2.2,Politics,Mexico, mensual
@healthymind,Instagram,96000,3.5,Fitness,Peru, semanal
@deliciousfood,TikTok,31000,1.9,Food,Chile, semanal
@lifetips,YouTube,12000,1.7,Lifestyle,Argentina, diaria
@comedyscene,Twitter,7100,1.2,Comedy,Brazil, mensual
@politicsinsider,Instagram,42000,2.3,Politics,Colombia, semanal
@thusco,Instagram,800000,1.9,food,Guatemala,diaria
@adroc,TikTok,111111111111,100.2,food,Guatemala,diaria
@alesh,Instagram,1000000,2.1,food,Guatemala,diaria
@padrox,YouTube,100000,2.3,food,USA,diaria
@hola,Twitter,20000,1.2,food,USA,diaria
@papa,TikTok,20000,1.0,LOL,Guatemala,mensual
